property_id;activation_year;building_value;land_value;renovation_cost;property_type;land_area_m2;building_area_m2;condition;settlement_type;city;county;annual_cost
ID1;2022;1306989.8260313799;5.068207706313837;0.0;Lakóház;774.2500328402208;39.0;3;Város;Pusztaszabolcs;Fejér vármegye;143916.19039658635
ID2;2022;4987718.5800153315;42.208524349151695;0.0;Lakóház;2088.363442071528;98.0;3;Város;Sárbogárd;Fejér vármegye;342256.0318496723
ID3;2022;7722818.436009768;29.994077244448057;0.0;Lakóház;1056.5634482564628;164.0;3;Város;Pusztaszabolcs;Fejér vármegye;532520.5045528786
ID4;2022;891399.0417642242;8.958874891734382;0.0;Lakóház;1104.7459024550574;39.0;3;Város;Sárbogárd;Fejér vármegye;148518.05607723293
ID5;2022;4686372.257709878;6.141162970522562;0.0;Lakóház;766.7066478570243;44.0;3;Város;Bicske;Fejér vármegye;169751.26075962174
ID6;2022;3942219.9618765805;17.468914762724303;0.0;Lakóház;761.9168668546108;39.0;3;Város;Bodajk;Fejér vármegye;165623.7641380879
ID7;2022;4664678.212091936;7.71821071191316;0.0;Lakóház;527.2428010147205;51.0;3;Város;Polgárdi;Fejér vármegye;169945.7158031924
ID8;2022;2221163.6013439284;30850.60177450043;0.0;Lakóház;2230.7585715862647;39.0;3;Város;Martonvásár;Fejér vármegye;154174.42581033517
ID9;2022;3816652.8512420566;3.5929134527116995;0.0;Lakóház;187.33195732683038;39.0;3;Város;Polgárdi;Fejér vármegye;125932.67078456185
ID10;2022;2498898.843112793;62.38170518516948;0.0;Lakóház;2457.083068282344;39.0;3;Város;Polgárdi;Fejér vármegye;138928.25927636184
ID11;2022;1449283.1419731118;11.097282433996781;0.0;Lakóház;1012.3498659089364;39.0;3;Város;Pusztaszabolcs;Fejér vármegye;157839.79258890412
ID12;2022;3964945.3441297566;58.15944485773131;0.0;Lakóház;3042.9617922387383;39.0;3;Város;Bicske;Fejér vármegye;141247.95163067893
ID13;2022;2712529.941908525;10.70100946133524;0.0;Lakóház;1479.8196286353777;39.0;3;Város;Pusztaszabolcs;Fejér vármegye;147064.2061986338
ID14;2022;1460578.512081635;14189.998451643294;0.0;Lakóház;1041.5149100501808;39.0;3;Város;Polgárdi;Fejér vármegye;118245.95751887657
ID15;2022;2353274.177731713;6885.471293182768;0.0;Lakóház;524.6332569186487;39.0;2;Város;Mór;Fejér vármegye;136962.68493204087
ID16;2022;11804442.974942515;59.26858126175616;0.0;Lakóház;1126.2949651689592;116.0;3;Város;Pusztaszabolcs;Fejér vármegye;392123.61347683956
ID17;2022;11633480.995256072;13.411130871524842;0.0;Lakóház;931.4979893022256;109.0;2;Város;Bicske;Fejér vármegye;463371.2636304027
ID18;2022;3102593.204210003;20.215577246753224;0.0;Lakóház;2098.0838270588556;100.0;3;Város;Polgárdi;Fejér vármegye;385807.79588477
ID19;2022;11275701.590858903;2.4105494630449154;0.0;Lakóház;514.1040411650634;103.0;3;Város;Aba;Fejér vármegye;290201.24072772625
ID20;2022;3730623.5802119086;15.311993907964856;0.0;Lakóház;1192.0848451115476;71.0;3;Város;Polgárdi;Fejér vármegye;200789.0478937448
ID21;2022;7795959.151609194;15.623343011354748;0.0;Lakóház;757.350326050288;102.0;2;Város;Sárbogárd;Fejér vármegye;487633.8256339015
ID22;2022;5469275.994887263;4900.328500728047;0.0;Lakóház;364.79567808922735;68.0;3;Város;Pusztaszabolcs;Fejér vármegye;229884.74824201246
ID23;2022;3766583.065624766;2.7171023848304263;0.0;Lakóház;576.1625562718173;81.0;3;Város;Pusztaszabolcs;Fejér vármegye;256856.7116463937
ID24;2022;5901020.823214832;23.492790683841193;0.0;Lakóház;1619.8620118876804;142.0;3;Város;Bicske;Fejér vármegye;577135.7984432903
ID25;2022;2157011.650873489;16.669581675950038;0.0;Lakóház;1401.9454981464323;39.0;3;Város;Bicske;Fejér vármegye;118954.50799322074
ID26;2022;3569968.2971165664;16885.60934679942;0.0;Lakóház;1390.3777168658353;72.0;3;Város;Polgárdi;Fejér vármegye;189963.58541237406
ID27;2022;3054665.9528599526;46.64216790169002;0.0;Lakóház;1666.1106171860888;49.0;3;Város;Polgárdi;Fejér vármegye;168213.19467942006
ID28;2022;2462711.947921203;11.034397954709839;0.0;Lakóház;696.6136878751455;42.0;2;Város;Polgárdi;Fejér vármegye;185662.21410253353
ID29;2022;12098474.330138449;1.4300666613617672;0.0;Lakóház;149.94204766160706;120.0;3;Város;Polgárdi;Fejér vármegye;351014.9355514823
ID30;2022;7470059.613132527;9.837962477438426;0.0;Lakóház;812.142847189517;136.0;2;Város;Pusztaszabolcs;Fejér vármegye;581105.2536901989
ID31;2022;6117219.737298382;22.280506910159456;0.0;Lakóház;1234.3673620779753;98.0;3;Város;Polgárdi;Fejér vármegye;387594.2503734286
ID32;2022;4986691.080651049;12.692982174819944;0.0;Lakóház;961.1534962957543;74.0;3;Város;Bicske;Fejér vármegye;255886.39835555982
ID33;2022;9229588.648845755;20.03105717131635;0.0;Lakóház;2408.2159209034685;95.0;3;Város;Pusztaszabolcs;Fejér vármegye;366636.07458517933
ID34;2022;3105531.945087881;16.53933032601919;0.0;Lakóház;683.3684303457876;88.0;3;Város;Polgárdi;Fejér vármegye;290049.5809393331
ID35;2022;5758258.864065552;14.42436282507184;0.0;Lakóház;536.4349975079458;50.0;4;Város;Martonvásár;Fejér vármegye;171663.48928319712
ID36;2022;9123093.552658228;1.3076919751236238;0.0;Lakóház;172.7139558318828;93.0;3;Város;Ercsi;Fejér vármegye;299377.1996393785
ID37;2022;1847923.7203374421;10.967274980352279;0.0;Lakóház;1149.712693040358;39.0;2;Város;Rácalmás;Fejér vármegye;158143.7620130133
ID38;2022;655172.1081573737;151.0482866257166;0.0;Lakóház;454.35777743496766;39.0;4;Város;Ercsi;Fejér vármegye;100182.69220122842
ID39;2022;8775598.821779575;35.542563769815025;0.0;Lakóház;2501.2372443743507;101.0;4;Város;Polgárdi;Fejér vármegye;285064.3330378872
ID40;2022;5390262.516028258;9439.3209530157;0.0;Lakóház;723.0467066477632;64.0;3;Város;Pusztaszabolcs;Fejér vármegye;232310.2650459645
ID41;2022;7129737.6282667145;9.604547009341172;0.0;Lakóház;1326.4820755511253;120.0;3;Város;Polgárdi;Fejér vármegye;510044.80524222436
ID42;2022;2101700.688332966;11.79043607098591;0.0;Lakóház;1408.0386359732852;63.0;2;Város;Sárbogárd;Fejér vármegye;309728.5453213384
ID43;2022;3741343.2413296956;7.496992607363546;0.0;Lakóház;714.045683677122;101.0;3;Város;Adony;Fejér vármegye;345980.7396087558
ID44;2022;1936872.5044912223;0.775496181302067;0.0;Lakóház;350.1012390228488;56.0;3;Város;Pusztaszabolcs;Fejér vármegye;191198.970759045
ID45;2022;9601016.555201983;4.331874802936202;0.0;Lakóház;645.6890135689921;99.0;3;Város;Csákvár;Fejér vármegye;391552.7028966315
ID46;2022;4227578.187180397;4.663405079443071;0.0;Lakóház;634.3835450004951;64.0;3;Város;Polgárdi;Fejér vármegye;241426.49125377095
ID47;2022;8182953.81822172;14.329439992690883;0.0;Lakóház;2513.9856244536277;139.0;2;Város;Adony;Fejér vármegye;599705.5124012
ID48;2022;3838984.047773371;13.000492286549651;0.0;Lakóház;839.2790435387649;59.0;3;Város;Csákvár;Fejér vármegye;199921.7096216078
ID49;2022;3893343.0090203006;3657.554312418569;0.0;Lakóház;298.01518168731644;39.0;3;Város;Bicske;Fejér vármegye;153534.24169882285
ID50;2022;3034607.731778995;15.984586922311273;0.0;Lakóház;1705.1939585781697;39.0;3;Város;Aba;Fejér vármegye;177161.66005171253
ID51;2022;3584364.2597889123;12.01069281121167;0.0;Lakóház;2428.9655721295294;52.0;3;Város;Ercsi;Fejér vármegye;194549.30562736595
ID52;2022;1155735.2045518793;7.555398742650866;0.0;Lakóház;1370.6677805587697;39.0;3;Város;Sárbogárd-Pusztaegres;Fejér vármegye;131193.20974092148
ID53;2022;1727928.7802980596;25.67492231830956;0.0;Lakóház;1528.0953141777989;39.0;3;Város;Csákvár;Fejér vármegye;141401.8447270392
ID54;2022;1710775.8639740366;4090.2194625662164;0.0;Lakóház;334.4112541596143;39.0;3;Város;Aba;Fejér vármegye;170696.96692799238
ID55;2022;6408203.176159018;23624.467120024197;0.0;Lakóház;1442.2717620818892;81.0;3;Város;Polgárdi;Fejér vármegye;284171.732613001
ID56;2022;2525001.693138669;4.060286211100667;0.0;Lakóház;1452.77677231243;48.0;2;Város;Pusztaszabolcs;Fejér vármegye;236070.92530165316
ID57;2022;1334593.4943532113;87.20672610451835;0.0;Lakóház;3576.4705036557257;39.0;2;Város;Polgárdi;Fejér vármegye;163535.8222180604
ID58;2022;2242133.6136714476;4.554734833693092;0.0;Lakóház;579.1104189897721;39.0;3;Város;Bodajk;Fejér vármegye;143492.4352887624
ID59;2022;10812584.583735334;21.96104253404181;0.0;Lakóház;2001.4132091487695;111.0;2;Város;Pusztaszabolcs;Fejér vármegye;520673.1863248614
ID60;2022;3560721.602026292;3.9102294650122937;0.0;Lakóház;250.5115606073876;94.0;3;Város;Bodajk;Fejér vármegye;413293.82564688195
ID61;2022;989844.8578870281;87.08223830618165;0.0;Lakóház;2225.197183726148;39.0;3;Város;Sárbogárd;Fejér vármegye;139624.5770434272
ID62;2022;6116306.701599571;15251.094023975256;0.0;Lakóház;1340.636241639441;137.0;3;Város;Ercsi;Fejér vármegye;439180.94044025044
ID63;2022;3350859.0167570445;51.909993214355474;0.0;Lakóház;3487.9463252807177;112.0;3;Város;Adony;Fejér vármegye;383630.76159074757
ID64;2022;1480720.6786742844;58.317015463404445;0.0;Lakóház;1511.1558332703628;40.0;4;Város;Pusztaszabolcs;Fejér vármegye;118400.33351625575
ID65;2022;1170007.241065459;21.901451844437247;0.0;Lakóház;1786.3907299758591;39.0;3;Város;Mór;Fejér vármegye;148232.53661831314
ID66;2022;2712296.1359957703;4.032854191730002;0.0;Lakóház;315.00132114234333;39.0;3;Város;Pusztaszabolcs;Fejér vármegye;118402.50712659376
ID67;2022;3395484.0479253936;52.32136814163388;0.0;Lakóház;1645.161158752114;39.0;3;Város;Polgárdi;Fejér vármegye;139672.26148733674
ID68;2022;2062218.7177524061;9.094599064130229;0.0;Lakóház;2652.4138201234773;73.0;3;Város;Aba;Fejér vármegye;300252.6004123184
ID69;2022;1589766.9284886413;9.293116789906232;0.0;Lakóház;1206.3877814040854;40.0;3;Város;Ercsi;Fejér vármegye;163085.05090843135
ID70;2022;1727422.3592421685;2004.9418592724687;0.0;Lakóház;201.12638493982345;60.0;3;Város;Pusztaszabolcs;Fejér vármegye;241603.558166899
ID71;2022;2409764.4826962883;7.284171302086111;0.0;Lakóház;427.98333263647856;46.0;3;Város;Adony;Fejér vármegye;175718.59507958082
